,count
Allergy,39
Skin,54
Performance,16
Sentiment,8
Competitor,4
Ingredients,10
Texture,25
Motivation,3
Application,15
Purchase,11
Odor,14
Packaging,2
Demographic,2
Price,4
Customer,1
